4.语句覆盖：输入X=5,Y=11   M=.T. N=.F.
            输入X=-12,Y=-10   M=.F. N=.T.
  判定覆盖：输入X=5,Y=11   M=.T. N=.F.
            输入X=-12,Y=-10   M=.F. N=.T.
  条件覆盖：输入X=6,Y=12  
            输入X=-16,Y=-20
  路径覆盖：输入X=-6,Y=3
            输入X=6,Y=12
            输入X=-18,Y=0



6.月薪    税率    税额
  3499    0%      0
  3500    0%      0
  3510    5%      0.05
  4000    5%      25
  3999    5%      24.95
  4001    10%     50.1
  5499    10%     199.9
  5500    10%     200
  5501    15%     300.15
  8499    15%     749.85
  8500    15%     750
  8501    20%     1000.2
  23499   20%     3999.8
  23500   20%     4000
  23501   25%     5000.25
  43499   25%     9999.75
  43500   25%     10000
  43501   30%     12000.3
  63499   30%     17999.7
  63500   30%     18000
  63501   35%     21000.35
  83499   35%     27999.65
  83500   35%     28000
  83501   40%     32000.4
  103499  40%     39999.6
  103500  40%     40000
  103501  45%     45000.45
